epoch,train_loss,train_acc,val_loss,val_acc,tar_at_far,lr,elapsed_s
4,31.865553,0.000000,34.288355,0.000000,0.000000,9.57e-04,32.3
21,19.355658,0.000000,19.181465,0.000000,0.000000,2.14e-04,34.8
8,30.988862,0.000000,33.461585,0.000000,0.000000,8.36e-04,40.8
16,27.000731,0.000000,27.636089,0.000000,0.000000,4.53e-04,41.4
5,31.681664,0.000000,33.934753,0.000000,0.000000,9.34e-04,36.2
22,18.303542,0.000000,18.122748,0.000000,0.000000,1.74e-04,36.4
9,30.670002,0.000000,32.896965,0.000000,0.000000,7.96e-04,42.7
1,39.581443,0.000000,33.912163,0.000000,0.000000,9.97e-04,76.1
6,31.434896,0.000000,33.720067,0.000000,0.000000,9.05e-04,35.0
17,26.319173,0.000000,27.349937,0.000000,0.000000,4.02e-04,41.9
21,27.546326,0.001179,29.179172,0.000000,0.000000,2.14e-04,93.8
23,17.700507,0.000000,17.357666,0.000000,0.000000,1.37e-04,35.6
10,30.250515,0.000000,32.278274,0.000000,0.000000,7.53e-04,47.8
7,31.230530,0.000000,33.373102,0.000000,0.000000,8.73e-04,41.7
2,33.488843,0.000000,33.466020,0.000000,0.000000,9.89e-04,50.6
24,17.060067,0.000000,17.140112,0.000000,0.000000,1.05e-04,40.6
18,25.739928,0.000000,26.407301,0.000000,0.000000,3.52e-04,49.7
8,30.917796,0.000000,33.003952,0.000000,0.000000,8.36e-04,41.2
11,29.787009,0.000000,31.731491,0.000000,0.000000,7.06e-04,48.4
25,16.472530,0.000000,16.158744,0.000000,0.000000,7.63e-05,40.1
3,32.374319,0.000000,35.480578,0.000000,0.000000,9.76e-04,45.0
19,25.088422,0.000000,25.335665,0.000000,0.000000,3.04e-04,44.4
22,27.260121,0.000590,28.945423,0.013333,0.000000,1.74e-04,95.4
9,30.621807,0.000000,32.717784,0.000000,0.000000,7.96e-04,27.5
26,16.096770,0.000000,15.868029,0.000000,0.000000,5.28e-05,25.2
12,29.066157,0.000000,30.624961,0.000000,0.000000,6.58e-04,33.9
4,31.868052,0.000000,34.232351,0.000000,0.000000,9.57e-04,33.6
20,24.355822,0.000000,24.393827,0.000000,0.000000,2.58e-04,33.9
10,30.077033,0.000000,31.797488,0.000000,0.000000,7.53e-04,35.0
27,15.741123,0.000000,15.603894,0.000000,0.000000,3.42e-05,40.3
13,28.571266,0.000000,29.953666,0.000000,0.000000,6.08e-04,47.5
5,31.741197,0.000000,33.848176,0.000000,0.000000,9.34e-04,50.2
21,23.962440,0.000000,23.998677,0.000000,0.000000,2.14e-04,50.3
23,27.188651,0.001769,28.542298,0.003333,0.000000,1.37e-04,89.4
11,29.559464,0.000000,31.166045,0.000000,0.000000,7.06e-04,46.9
28,15.462713,0.000000,15.735103,0.000000,0.000000,2.08e-05,50.2
14,27.675392,0.000000,28.602842,0.000000,0.000000,5.57e-04,69.7
6,31.384111,0.000000,33.686557,0.000000,0.000000,9.05e-04,87.4
22,23.461347,0.000000,23.983313,0.000000,0.000000,1.74e-04,103.1
12,28.827755,0.000000,30.435861,0.000000,0.000000,6.58e-04,121.3
24,26.909711,0.002358,28.319461,0.013333,0.000000,1.05e-04,152.1
29,15.267779,0.000000,15.093759,0.000000,0.000000,1.27e-05,138.3
15,27.025964,0.000000,27.758544,0.000000,0.000000,5.05e-04,164.4
7,31.088595,0.000000,33.409054,0.000000,0.000000,8.73e-04,173.1
23,22.826853,0.000000,23.483120,0.000000,0.000000,1.37e-04,172.8
13,28.166135,0.000000,29.060633,0.000000,0.000000,6.08e-04,173.3
30,15.185593,0.000000,15.288035,0.000000,0.000000,1.00e-05,174.3
25,26.791145,0.002358,28.388253,0.013333,0.000000,7.63e-05,195.2
16,26.099483,0.000000,26.897897,0.000000,0.000000,4.53e-04,161.4
8,30.671062,0.000000,33.246581,0.000000,0.000000,8.36e-04,155.2
24,22.469802,0.000000,22.614631,0.000000,0.000000,1.05e-04,152.6
14,27.509924,0.000000,28.454682,0.000000,0.000000,5.57e-04,147.4
17,25.312800,0.000000,25.834190,0.000000,0.000000,4.02e-04,144.1
26,26.665740,0.001179,28.276033,0.013333,0.000000,5.28e-05,169.5
9,30.185941,0.000000,32.227651,0.000000,0.000000,7.96e-04,142.4
25,22.094087,0.000000,22.105557,0.000000,0.000000,7.63e-05,139.2
15,26.762299,0.000000,27.705785,0.000000,0.000000,5.05e-04,139.1
18,24.126873,0.000000,24.825456,0.000000,0.000000,3.52e-04,141.9
10,29.719127,0.000000,31.702609,0.000000,0.000000,7.53e-04,146.4
27,26.474510,0.001769,28.310806,0.013333,0.000000,3.42e-05,173.8
26,21.876805,0.000000,22.121918,0.000000,0.000000,5.28e-05,143.6
16,26.006653,0.000000,26.872456,0.000000,0.000000,4.53e-04,143.5
19,23.164541,0.000000,23.785977,0.000000,0.000000,3.04e-04,142.6
11,28.910082,0.000000,30.508261,0.000000,0.000000,7.06e-04,145.3
27,21.782494,0.000000,22.374238,0.000000,0.000000,3.42e-05,146.0
28,26.442833,0.001769,27.892430,0.013333,0.000000,2.08e-05,168.8
17,25.131850,0.000000,25.551463,0.000000,0.000000,4.02e-04,143.3
20,22.175465,0.000000,22.535336,0.000000,0.000000,2.58e-04,143.0
12,28.258148,0.000000,28.959408,0.000000,0.000000,6.58e-04,143.8
28,21.705734,0.000000,22.186536,0.000000,0.000000,2.08e-05,146.4
18,24.629840,0.000000,25.019343,0.000000,0.000000,3.52e-04,146.6
29,26.439437,0.004127,27.983592,0.013333,0.000000,1.27e-05,168.7
21,21.144335,0.000000,21.532873,0.000000,0.000000,2.14e-04,143.6
13,27.343000,0.000000,28.562613,0.000000,0.000000,6.08e-04,143.4
29,21.702185,0.000000,22.031225,0.000000,0.000000,1.27e-05,143.4
19,23.416783,0.000000,23.852062,0.000000,0.000000,3.04e-04,146.8
30,26.358829,0.004127,27.894882,0.013333,0.000000,1.00e-05,167.8
22,20.217419,0.000000,20.420022,0.000000,0.000000,1.74e-04,138.5
14,26.464572,0.000000,27.735290,0.000000,0.000000,5.57e-04,130.7
30,21.495270,0.000000,21.956014,0.000000,0.000000,1.00e-05,128.1
20,22.426491,0.000000,23.295610,0.000000,0.000000,2.58e-04,117.3
23,19.435414,0.000000,19.723626,0.000000,0.000000,1.37e-04,98.9
15,25.680303,0.000000,26.751502,0.000000,0.000000,5.05e-04,92.0
21,21.720981,0.000000,22.015212,0.000000,0.000000,2.14e-04,88.6
24,18.839968,0.000000,18.883632,0.000000,0.000000,1.05e-04,88.5
16,24.894989,0.000000,25.468893,0.000000,0.000000,4.53e-04,88.6
22,20.966667,0.000000,21.850238,0.000000,0.000000,1.74e-04,88.4
25,18.232212,0.000000,18.803531,0.000000,0.000000,7.63e-05,88.4
17,23.835016,0.000000,24.566248,0.000000,0.000000,4.02e-04,88.2
23,20.305168,0.000000,21.031586,0.000000,0.000000,1.37e-04,88.5
26,17.817788,0.000000,17.927166,0.000000,0.000000,5.28e-05,88.7
18,22.553432,0.000000,23.533919,0.000000,0.000000,3.52e-04,89.0
24,19.713832,0.000000,21.035788,0.000000,0.002288,1.05e-04,89.6
27,17.584348,0.000000,17.885130,0.000000,0.000000,3.42e-05,92.6
19,21.741493,0.000000,23.127199,0.000000,0.000000,3.04e-04,94.0
